f1,precision,recall
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.123456358909606934e-01,8.611111044883728027e-01,4.750957787036895752e-01
5.593220591545104980e-01,9.428571462631225586e-01,3.975903689861297607e-01
2.380952425301074982e-02,5.000000000000000000e-01,1.219512149691581726e-02
1.219512224197387695e-01,5.263158082962036133e-01,6.896551698446273804e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.932009935379028320e-01,8.928042650222778320e-01,8.935980796813964844e-01
9.007225036621093750e-01,9.033816456794738770e-01,8.980789780616760254e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.983471065759658813e-01,1.764705926179885864e-01,2.264150977134704590e-01
2.325581163167953491e-01,4.545454680919647217e-01,1.562500000000000000e-01
2.494004964828491211e-01,4.952380955219268799e-01,1.666666716337203979e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.523809701204299927e-02,5.000000000000000000e-01,5.263157933950424194e-02
1.212121248245239258e-01,3.768115937709808350e-01,7.222222536802291870e-02
4.705882370471954346e-01,6.511628031730651855e-01,3.684210479259490967e-01
1.652892678976058960e-02,5.714285969734191895e-01,8.385743945837020874e-03
4.989154040813446045e-01,6.318681240081787109e-01,4.121863842010498047e-01
2.369668334722518921e-01,8.620689511299133301e-01,1.373626440763473511e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.902439177036285400e-01,5.333333611488342285e-01,3.076923191547393799e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.666666865348815918e-01,1.000000000000000000e+00,5.000000000000000000e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.269841343164443970e-01,1.000000000000000000e+00,6.779661029577255249e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.090908616781234741e-02,2.916666567325592041e-01,5.384615436196327209e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.999999910593032837e-02,3.333333432674407959e-01,2.127659507095813751e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.658227682113647461e-01,9.130434989929199219e-01,1.555555611848831177e-01
3.396226465702056885e-01,7.941176295280456543e-01,2.160000056028366089e-01
2.180579155683517456e-01,5.925925970077514648e-01,1.336116939783096313e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.599999427795410156e-01,7.623762488365173340e-01,4.425287246704101562e-01
7.889908552169799805e-01,9.247311949729919434e-01,6.880000233650207520e-01
