# original_frequency, f1, precision, recall
5.000000000000000240e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.455000000000000151e-03,2.631579041481018066e-01,5.555555820465087891e-01,1.724137961864471436e-01
1.993999999999999939e-02,5.895690917968750000e-01,5.241935253143310547e-01,6.735751032829284668e-01
1.208000000000000046e-02,6.987951397895812988e-01,7.565217614173889160e-01,6.492537260055541992e-01
5.250000000000000326e-03,7.017543911933898926e-02,4.000000059604644775e-01,3.846153989434242249e-02
1.072999999999999995e-02,4.453125000000000000e-01,4.160583913326263428e-01,4.789915978908538818e-01
2.500000000000000052e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.518049999999999788e-01,8.084778785705566406e-01,7.361403703689575195e-01,8.965811729431152344e-01
1.912399999999999933e-01,8.516284823417663574e-01,7.950450181961059570e-01,9.168831110000610352e-01
9.000000000000000567e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.749999999999999982e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.123000000000000040e-02,5.833333134651184082e-01,6.621621847152709961e-01,5.212765932083129883e-01
6.955000000000000245e-03,2.521008551120758057e-01,2.727272808551788330e-01,2.343750000000000000e-01
3.263499999999999734e-02,4.610778689384460449e-01,4.583333432674407959e-01,4.638554155826568604e-01
5.749999999999999903e-03,2.739726006984710693e-02,1.250000000000000000e-01,1.538461539894342422e-02
1.389999999999999960e-03,5.454545617103576660e-01,1.000000000000000000e+00,3.750000000000000000e-01
6.649499999999999855e-02,3.529411554336547852e-01,4.754098355770111084e-01,2.806451618671417236e-01
1.423499999999999939e-02,5.700482726097106934e-01,4.682539701461791992e-01,7.283950448036193848e-01
2.563999999999999960e-02,3.023255765438079834e-01,3.070866167545318604e-01,2.977099120616912842e-01
5.161000000000000310e-02,4.741573333740234375e-01,5.749318599700927734e-01,4.034416973590850830e-01
1.362999999999999975e-02,3.167420923709869385e-01,4.929577410221099854e-01,2.333333343267440796e-01
2.749999999999999840e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.185000000000000072e-03,2.758620977401733398e-01,2.666666805744171143e-01,2.857142984867095947e-01
1.129999999999999928e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.969999999999999984e-03,4.166666865348815918e-01,7.142857313156127930e-01,2.941176593303680420e-01
5.445000000000000187e-03,4.339622557163238525e-01,4.423076808452606201e-01,4.259259402751922607e-01
3.295499999999999818e-02,1.693363934755325317e-01,2.700729966163635254e-01,1.233333349227905273e-01
8.450000000000000479e-04,6.666667461395263672e-01,5.555555820465087891e-01,8.333333134651184082e-01
4.299999999999999894e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.499999999999999526e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.369999999999999753e-03,5.000000000000000000e-01,4.634146392345428467e-01,5.428571701049804688e-01
1.975000000000000193e-03,1.428571492433547974e-01,5.000000000000000000e-01,8.333333581686019897e-02
